frame_index,timestamp_s
0,2.673515
1,2.707178
2,2.747751
3,2.807137
4,2.854019
5,2.889239
6,2.924247
7,2.960255
8,2.994263
9,3.034272
10,3.073749
11,3.123635
12,3.164740
13,3.208001
14,3.257925
15,3.308309
16,3.350520
17,3.402301
18,3.449185
19,3.508579
20,3.551680
21,3.639818
22,3.671070
23,3.724459
24,3.768075
25,3.808842
26,3.855719
27,3.907987
28,3.952863
29,4.009249
30,4.059634
31,4.109519
32,4.154131
33,4.209517
34,4.258940
35,4.309827
36,4.355424
37,4.402249
38,4.450132
39,4.510044
40,4.556661
41,4.615550
42,4.662430
43,4.710317
44,4.757439
45,4.810326
46,4.857205
47,4.908988
48,4.957839
49,5.010723
50,5.061944
51,5.110844
52,5.158232
53,5.211115
54,5.260036
55,5.310936
56,5.358323
57,5.419217
58,5.466096
59,5.511364
60,5.558750
61,5.611634
62,5.658513
63,5.711911
64,5.759551
65,5.811935
66,5.858813
67,5.910085
68,5.960574
69,6.012452
70,6.062681
71,6.112576
72,6.160961
73,6.212849
74,6.260733
75,6.313142
76,6.361028
77,6.419422
78,6.458183
79,6.513582
80,6.562358
81,6.613745
82,6.660623
83,6.714020
84,6.763548
85,6.813934
86,6.860812
87,6.911086
88,6.963614
89,7.014502
90,7.063754
91,7.114650
92,7.164033
93,7.214272
94,7.262155
95,7.315047
96,7.364818
97,7.420249
98,7.467127
99,7.515011
100,7.565749
101,7.615133
102,7.662010
103,7.715395
104,7.766627
105,7.815516
106,7.862391
107,7.912160
108,7.966696
109,8.016080
110,8.065465
111,8.116350
112,8.166736
113,8.216505
114,8.263387
115,8.316779
116,8.367551
117,8.420983
118,8.467860
119,8.517250
120,8.567136
121,8.617537
122,8.664413
123,8.717810
124,8.769509
125,8.817892
126,8.864770
127,8.915046
128,8.968954
129,9.018338
130,9.055098
131,9.102984
132,9.149868
133,9.188133
134,9.234899
135,9.281775
136,9.319048
137,9.372898
138,9.421166
139,9.468044
140,9.519431
141,9.573692
142,9.619463
143,9.666343
144,9.719728
145,9.774533
146,9.819806
147,9.866684
148,9.916956
149,9.975403
150,10.020179
151,10.056519
152,10.103392
153,10.151279
154,10.192050
155,10.235208
156,10.282084
157,10.320356
158,10.378209
159,10.421575
160,10.458341
161,10.505093
162,10.551980
163,10.595085
164,10.636357
165,10.683234
166,10.736627
167,10.780245
168,10.821016
169,10.867897
170,10.918660
171,10.980988
172,11.021271
173,11.071659
174,11.121545
175,11.182280
176,11.220946
177,11.267830
178,11.321714
179,11.382980
180,11.421780
181,11.468661
182,11.522045
183,11.569278
184,11.622177
185,11.669059
186,11.722442
187,11.769231
188,11.822642
189,11.869522
190,11.920790
191,11.967673
192,12.025632
193,12.067060
194,12.105069
195,12.137076
196,12.173084
197,12.210093
198,12.254797
199,12.301677
200,12.355069
201,12.403854
202,12.439635
203,12.486507
204,12.524265
205,12.572152
206,12.608523
207,12.655403
208,12.702282
209,12.740040
210,12.786918
211,12.824390
212,12.871272
213,12.922039
214,12.970483
215,13.009128
216,13.058373
217,13.109255
218,13.156136
219,13.209542
220,13.255807
221,13.302691
222,13.340974
223,13.387852
224,13.425491
225,13.487993
226,13.525773
227,13.572657
228,13.625931
229,13.672810
230,13.726202
231,13.773081
232,13.810756
233,13.857644
234,13.904516
235,13.942278
236,13.989160
237,14.058190
238,14.105066
239,14.142825
240,14.205330
241,14.241950
242,14.288827
243,14.327592
244,14.368611
245,14.427595
246,14.474475
247,14.527860
248,14.574737
249,14.628130
250,14.675008
251,14.728395
252,14.775274
253,14.828672
254,14.875551
255,14.928937
256,14.975816
257,15.029715
258,15.076593
259,15.129492
260,15.176371
261,15.226765
262,15.274648
263,15.330044
264,15.376922
265,15.430675
266,15.477551
267,15.530437
268,15.577315
269,15.632660
270,15.679540
271,15.730923
272,15.777800
273,15.838461
274,15.885341
275,15.931108
276,15.977985
277,16.039230
278,16.086109
279,16.131368
280,16.178245
281,16.227444
282,16.275332
283,16.331712
284,16.378591
285,16.440394
286,16.487274
287,16.539161
288,16.586039
289,16.641160
290,16.688038
291,16.739425
292,16.786299
293,16.842162
294,16.889040
295,16.939941
296,16.986820
297,17.042541
298,17.089418
299,17.140310
300,17.191027
301,17.244505
302,17.291383
303,17.340280
304,17.387160
305,17.444095
306,17.490974
307,17.540863
308,17.587745
309,17.644486
310,17.691365
311,17.741257
312,17.788137
313,17.844887
314,17.891765
315,17.941671
316,17.988555
317,18.045280
318,18.092158
319,18.142054
320,18.188934
321,18.245662
322,18.292540
323,18.342440
324,18.389324
