frame_index,timestamp_s
0,2.780362
1,2.811616
2,2.858495
3,2.925010
4,2.962773
5,2.996906
6,3.043784
7,3.080280
8,3.117290
9,3.151297
10,3.186305
11,3.223694
12,3.279079
13,3.325957
14,3.363605
15,3.413550
16,3.463887
17,3.510772
18,3.557654
19,3.599150
20,3.646029
21,3.695417
22,3.742294
23,3.780055
24,3.831272
25,3.880170
26,3.927054
27,3.976189
28,4.016563
29,4.064981
30,4.108584
31,4.155462
32,4.201628
33,4.248494
34,4.296389
35,4.343269
36,4.401870
37,4.448744
38,4.496539
39,4.543417
40,4.581064
41,4.619688
42,4.663964
43,4.712362
44,4.759235
45,4.805131
46,4.852014
47,4.897288
48,4.944165
49,5.005791
50,5.052669
51,5.092354
52,5.139241
53,5.181996
54,5.221771
55,5.282167
56,5.329045
57,5.366688
58,5.406996
59,5.453873
60,5.498143
61,5.545021
62,5.582782
63,5.623874
64,5.682762
65,5.729641
66,5.783026
67,5.824608
68,5.882993
69,5.929870
70,5.998148
71,6.032156
72,6.064163
73,6.102954
74,6.149832
75,6.210048
76,6.256926
77,6.299688
78,6.346573
79,6.384246
80,6.426508
81,6.484182
82,6.531059
83,6.584479
84,6.633092
85,6.684476
86,6.731352
87,6.784753
88,6.843505
89,6.884763
90,6.931640
91,6.990563
92,7.028880
93,7.081147
94,7.128029
95,7.185417
96,7.230011
97,7.285399
98,7.332276
99,7.369752
100,7.414538
101,7.461305
102,7.501065
103,7.547944
104,7.585706
105,7.631287
106,7.693355
107,7.722361
108,7.756367
109,7.791375
110,7.833119
111,7.886002
112,7.932883
113,7.992636
114,8.033960
115,8.081741
116,8.128625
117,8.186512
118,8.233896
119,8.286794
120,8.333677
121,8.386956
122,8.433833
123,8.471242
124,8.518128
125,8.565510
126,8.602773
127,8.649648
128,8.687411
129,8.734287
130,8.787675
131,8.835442
132,8.887833
133,8.934710
134,8.992633
135,9.051523
136,9.102801
137,9.149677
138,9.188445
139,9.235820
140,9.288709
141,9.335593
142,9.388866
143,9.435745
144,9.473387
145,9.520269
146,9.567147
147,9.604907
148,9.654101
149,9.704987
150,9.751865
151,9.789625
152,9.836503
153,9.870595
154,9.908216
155,9.955558
156,9.991078
157,10.024085
158,10.065400
159,10.112172
160,10.159052
161,10.208938
162,10.256514
163,10.308899
164,10.355772
165,10.393377
166,10.440238
167,10.477783
168,10.524664
169,10.571545
170,10.624940
171,10.674462
172,10.724848
173,10.771731
174,10.825125
175,10.860447
176,10.909335
177,10.956210
178,10.993988
179,11.040867
180,11.077633
181,11.116905
182,11.163780
183,11.210052
184,11.263744
185,11.310010
186,11.356883
187,11.394539
188,11.447452
189,11.478922
190,11.525804
191,11.572687
192,11.633609
193,11.671899
194,11.710667
195,11.757547
196,11.810941
197,11.872656
