frame_index,timestamp_s
0,2.653417
1,2.669043
2,2.718926
3,2.765807
4,2.815698
5,2.853470
6,2.900348
7,2.950737
8,2.996072
9,3.029080
10,3.070089
11,3.104097
12,3.138104
13,3.173112
14,3.209120
15,3.243128
16,3.288001
17,3.335885
18,3.382764
19,3.436155
20,3.486889
21,3.536269
22,3.583149
23,3.636541
24,3.687286
25,3.736677
26,3.783556
27,3.888260
28,3.903886
29,3.952771
30,3.999648
31,4.037408
32,4.073028
33,4.113837
34,4.153097
35,4.199975
36,4.237430
37,4.273728
38,4.320605
39,4.368989
40,4.415867
41,4.457139
42,4.504523
43,4.553909
44,4.600788
45,4.638556
46,4.689744
47,4.738632
48,4.785511
49,4.838676
50,4.890060
51,4.938964
52,4.985846
53,5.039225
54,5.091314
55,5.139139
56,5.186013
57,5.223681
58,5.275581
59,5.322469
60,5.370852
61,5.409000
62,5.455264
63,5.508524
64,5.555291
65,5.602164
66,5.639934
67,5.693910
68,5.755801
69,5.802914
70,5.855820
71,5.894085
72,5.940347
73,5.987225
74,6.040625
75,6.099525
76,6.140794
77,6.187671
78,6.225165
79,6.272047
80,6.316352
81,6.356617
82,6.403495
83,6.456890
84,6.501511
85,6.541273
86,6.588145
87,6.641533
88,6.702475
89,6.741760
90,6.788641
91,6.841911
92,6.903799
93,6.942072
94,6.988954
95,7.042331
96,7.088989
97,7.142297
98,7.189172
99,7.226862
100,7.273749
101,7.320511
102,7.358284
103,7.405168
104,7.458554
105,7.505622
106,7.542892
107,7.589772
108,7.643154
109,7.689731
110,7.743140
111,7.790021
112,7.843122
113,7.890002
114,7.942951
115,7.989830
116,8.043212
117,8.090091
118,8.143326
119,8.190206
120,8.227548
121,8.274428
122,8.323312
123,8.359070
124,8.405950
125,8.443708
126,8.490587
127,8.524377
128,8.575261
129,8.622145
130,8.659916
131,8.709862
132,8.759749
133,8.822132
134,8.875527
135,8.925442
136,8.975828
137,9.022711
138,9.060484
139,9.121763
140,9.160532
141,9.206783
142,9.244938
143,9.291821
144,9.328586
145,9.376471
146,9.423351
147,9.476750
148,9.514315
149,9.561080
150,9.607953
151,9.645745
152,9.692628
153,9.745941
154,9.792821
155,9.845933
156,9.899828
157,9.946095
158,9.992973
159,10.046381
160,10.093266
161,10.146397
162,10.193276
163,10.230832
164,10.277716
165,10.324526
166,10.362294
167,10.409923
168,10.446685
169,10.493565
170,10.546843
171,10.606730
172,10.662629
173,10.693888
174,10.746936
175,10.793815
176,10.847138
177,10.894011
178,10.947427
179,10.994304
180,11.047693
181,11.094568
182,11.147609
183,11.194488
184,11.231965
185,11.278849
186,11.327280
187,11.363545
188,11.410418
189,11.448184
190,11.495061
191,11.548320
192,11.595200
193,11.648601
194,11.695482
195,11.748741
196,11.795614
197,11.849008
198,11.895887
199,11.949108
200,11.995990
201,12.049371
202,12.096250
203,12.149227
204,12.196100
205,12.233723
206,12.280610
207,12.331023
208,12.380910
209,12.427786
210,12.465551
211,12.512425
212,12.550067
213,12.596950
214,12.697209
215,12.731886
216,12.747492
217,12.782500
218,12.817508
219,12.852516
220,12.888524
221,12.925037
222,12.960044
223,13.001203
224,13.077721
225,13.108976
226,13.151640
227,13.207047
228,13.251698
229,13.298576
230,13.351974
231,13.398852
232,13.452238
233,13.499116
234,13.552347
235,13.599224
236,13.652611
237,13.699489
238,13.752699
239,13.799576
240,13.852881
241,13.899765
242,13.952991
243,13.999863
244,14.053264
245,14.100142
246,14.153135
247,14.200010
248,14.236284
249,14.284671
250,14.336553
251,14.384938
252,14.431817
253,14.469580
254,14.516454
255,14.554137
256,14.607018
257,14.654408
258,14.701288
259,14.754680
260,14.801556
261,14.854832
262,14.901711
263,14.939324
264,14.986205
265,15.033082
266,15.070844
267,15.122397
268,15.170797
269,15.217675
270,15.255287
271,15.302160
272,15.339438
273,15.394833
274,15.455715
275,15.502593
276,15.539903
277,15.586784
278,15.633663
279,15.671421
280,15.718301
281,15.755773
282,15.802650
283,15.855915
284,15.902795
285,15.940325
286,15.987206
287,16.034085
288,16.071841
289,16.128225
290,16.171664
291,16.218542
292,16.256135
293,16.303015
294,16.340686
295,16.387569
296,16.434448
297,16.472211
298,16.519084
299,16.556750
300,16.603637
301,16.657011
302,16.703890
303,16.741543
304,16.788425
305,16.828201
306,16.872965
307,16.919839
308,16.957445
309,17.004328
310,17.057705
311,17.104584
312,17.142194
313,17.189075
314,17.238353
315,17.289237
316,17.342539
317,17.389423
318,17.436301
319,17.489687
320,17.520939
321,17.574362
322,17.621240
323,17.658998
324,17.705878
325,17.759290
326,17.806174
327,17.859453
328,17.906332
329,17.959693
330,18.006579
331,18.059960
332,18.106839
333,18.160203
334,18.207086
335,18.260479
336,18.307357
337,18.360774
338,18.407658
339,18.461039
340,18.507918
341,18.561322
342,18.607583
343,18.661470
344,18.708346
345,18.761374
346,18.808258
347,18.845193
348,18.892578
349,18.943485
350,18.992874
351,19.039751
352,19.077516
353,19.146415
354,19.196349
355,19.239621
356,19.277889
357,19.324763
358,19.366847
359,19.413729
360,19.462613
361,19.509493
362,19.567664
363,19.614546
364,19.662927
365,19.709806
366,19.768546
367,19.829951
368,19.878840
369,19.925715
370,19.970460
371,20.017342
372,20.063607
373,20.110485
374,20.155015
375,20.201895
376,20.234254
377,20.269263
378,20.306271
379,20.341280
380,20.380288
381,20.411294
382,20.445302
383,20.486311
384,20.523522
385,20.571681
386,20.618562
387,20.663822
388,20.710702
389,20.772497
390,20.830953
391,20.879841
392,20.926720
393,20.973335
394,21.020213
395,21.064474
396,21.111354
397,21.148857
398,21.189155
399,21.240052
400,21.280312
401,21.327191
402,21.374803
403,21.421682
404,21.464943
405,21.511822
406,21.558595
407,21.605482
408,21.665388
409,21.712271
410,21.762038
411,21.808920
412,21.847182
413,21.897077
414,21.943959
415,21.993736
416,22.050627
417,22.097512
418,22.150631
419,22.194515
420,22.240286
421,22.282052
422,22.328927
423,22.378720
424,22.425606
425,22.466863
426,22.513742
427,22.567134
428,22.607464
429,22.667351
430,22.714228
431,22.767612
432,22.804698
433,22.848003
434,22.898889
435,22.945766
436,22.989884
437,23.036763
438,23.083522
439,23.130405
440,23.190055
441,23.240441
442,23.283704
443,23.330583
444,23.391286
445,23.438165
446,23.483930
447,23.530808
448,23.568576
449,23.607657
450,23.668537
451,23.715415
452,23.768819
453,23.808421
454,23.853328
455,23.900209
456,23.947089
457,23.993662
458,24.040541
459,24.084807
460,24.131680
461,24.169349
462,24.209651
463,24.269464
464,24.316342
465,24.369733
466,24.410883
467,24.469767
468,24.516645
469,24.570044
470,24.611648
471,24.670030
472,24.716908
473,24.770309
474,24.812420
475,24.849816
476,24.886077
477,24.932956
478,24.970727
479,25.013423
480,25.070802
481,25.117681
482,25.155344
483,25.191990
484,25.242470
485,25.286740
486,25.333622
487,25.398902
488,25.445784
489,25.487051
490,25.533926
491,25.571695
492,25.615324
493,25.671706
494,25.718584
495,25.771986
496,25.819317
497,25.872205
498,25.919083
499,25.972483
500,26.017179
501,26.072561
502,26.119439
503,26.157108
504,26.202410
505,26.242687
506,26.288449
507,26.335325
508,26.373108
509,26.419214
510,26.473092
511,26.519971
512,26.573385
513,26.623054
514,26.673435
515,26.720314
516,26.773709
517,26.835426
518,26.873686
519,26.920565
520,26.973959
521,27.021558
522,27.073941
523,27.120820
524,27.158300
525,27.206196
526,27.242968
527,27.289728
528,27.336606
529,27.390999
530,27.439186
531,27.473193
532,27.508201
533,27.544209
534,27.579217
535,27.614226
536,27.649233
537,27.685218
538,27.732087
539,27.774851
540,27.836161
541,27.874928
542,27.921806
543,27.975200
544,28.024425
545,28.075311
546,28.122188
547,28.159833
548,28.209769
549,28.259693
550,28.306572
551,28.353449
552,28.391209
553,28.441925
554,28.491311
555,28.538189
556,28.575949
557,28.626672
558,28.676060
559,28.722934
560,28.776326
561,28.826093
562,28.876508
563,28.923393
564,28.976772
