frame_index,timestamp_s
0,2.651313
1,2.682569
2,2.713821
3,2.748612
4,2.795623
5,2.832632
6,2.861142
7,2.895149
8,2.926158
9,2.964165
10,2.998173
11,3.029180
12,3.060187
13,3.095195
14,3.129203
15,3.167212
16,3.200219
17,3.234226
18,3.271235
19,3.306243
20,3.340250
21,3.379260
22,3.418882
23,3.470410
24,3.517288
25,3.560397
26,3.607275
27,3.671110
28,3.717988
29,3.757752
30,3.804630
31,3.842390
32,3.887707
33,3.926605
34,3.973489
35,4.020369
36,4.073518
37,4.120402
38,4.158164
39,4.205047
40,4.277880
41,4.309135
42,4.358523
43,4.405400
44,4.443195
45,4.493580
46,4.543467
47,4.592710
48,4.643596
49,4.694257
50,4.743640
51,4.790518
52,4.843905
53,4.895125
54,4.943899
55,4.990777
56,5.044167
57,5.096386
58,5.144277
59,5.191157
60,5.244546
61,5.296856
62,5.344745
63,5.391628
64,5.444972
65,5.498931
66,5.545199
67,5.592589
68,5.645471
69,5.682061
70,5.728945
71,5.776837
72,5.823715
73,5.861479
74,5.927822
75,5.977211
76,6.024089
77,6.061852
78,6.115261
79,6.162026
80,6.208907
81,6.246670
82,6.300354
83,6.346618
84,6.393498
85,6.446706
86,6.500592
87,6.546240
88,6.595086
89,6.646971
90,6.717198
91,6.746835
92,6.793715
93,6.847106
94,6.902313
95,6.947123
96,6.994002
97,7.047384
98,7.102763
99,7.147534
100,7.194415
101,7.247799
102,7.303431
103,7.343086
104,7.389974
105,7.447797
106,7.503684
107,7.547961
108,7.595345
109,7.648231
110,7.687934
111,7.748331
112,7.795210
113,7.848604
114,7.905357
115,7.948751
116,7.995634
117,8.049021
118,8.106256
119,8.149022
120,8.195903
121,8.249287
122,8.307013
123,8.349282
124,8.396159
125,8.449405
126,8.507291
127,8.547951
128,8.596355
129,8.649740
130,8.685926
131,8.723233
132,8.765496
133,8.812375
134,8.850132
135,8.908723
136,8.950048
137,8.996933
138,9.050311
139,9.110421
140,9.150186
141,9.197067
142,9.250451
143,9.309847
144,9.350610
145,9.397491
146,9.450661
147,9.510681
148,9.549347
149,9.597859
150,9.651241
151,9.711702
152,9.751476
153,9.798360
154,9.851740
155,9.912508
156,9.951828
157,9.998712
158,10.052091
159,10.113857
160,10.152133
161,10.199013
162,10.252398
163,10.298991
164,10.352385
165,10.399272
166,10.452516
167,10.499313
168,10.550596
169,10.599021
170,10.652814
171,10.715269
172,10.753047
173,10.799930
174,10.853313
175,10.900472
176,10.953516
177,11.000395
178,11.053783
179,11.100539
180,11.153936
181,11.200823
182,11.254203
183,11.301082
184,11.338872
185,11.385755
186,11.438902
187,11.506206
188,11.523379
189,11.567181
190,11.599190
191,11.651202
192,11.686209
193,11.699212
194,11.735220
195,11.772228
196,11.806237
197,11.842245
198,11.903258
199,11.935266
200,11.983277
201,12.017285
202,12.021285
203,12.055120
204,12.101998
205,12.155123
206,12.202000
207,12.255390
208,12.302270
209,12.359380
210,12.406258
211,12.455417
212,12.502295
213,12.551947
214,12.600382
215,12.655773
216,12.716708
217,12.732337
218,12.771598
219,12.818476
220,12.856237
221,12.903115
222,12.954149
223,13.011401
224,13.053651
225,13.092030
226,13.132423
227,13.172624
228,13.208297
229,13.255180
230,13.308562
231,13.354340
232,13.403186
233,13.443246
234,13.483594
235,13.522425
236,13.564216
237,13.604369
238,13.655662
239,13.691926
240,13.740319
241,13.787198
