__UUID4__;da2aa5e3-80f9-4d6e-9f08-c62b0ec11b05
__CREATED-ON__;2026-09-18 17:04:41.642538
__DEF-URL__;http://pybpod-api.readthedocs.org
__DEF-TEXT__;This file contains data recorded during a session from the PyBpod system
__SOFTWARE__;PyBpod API v1.8.2
__HAS-HEADER__
TYPE;PC-TIME;BPOD-INITIAL-TIME;BPOD-FINAL-TIME;MSG;+INFO
TRIAL;2026-09-18 17:04:55.771133;;;New trial;
VAL;2026-09-18 17:04:55.786764;;;WHEEL_POS;4.443,0.00
VAL;2026-09-18 17:04:55.802389;;;WHEEL_POS;4.459,0.00
VAL;2026-09-18 17:04:55.837149;;;WHEEL_POS;4.494,0.00
VAL;2026-09-18 17:04:55.852775;;;WHEEL_POS;4.509,0.00
VAL;2026-09-18 17:04:55.889400;;;WHEEL_POS;4.546,0.00
VAL;2026-09-18 17:04:55.905028;;;WHEEL_POS;4.561,0.00
VAL;2026-09-18 17:04:55.920654;;;WHEEL_POS;4.577,0.00
VAL;2026-09-18 17:04:55.951908;;;WHEEL_POS;4.608,0.00
VAL;2026-09-18 17:04:55.992004;;;WHEEL_POS;4.648,0.00
VAL;2026-09-18 17:04:56.008635;;;WHEEL_POS;4.665,0.00
VAL;2026-09-18 17:04:56.037827;;;WHEEL_POS;4.694,0.00
EVENT;2026-09-18 17:04:56.053453;0.271;;158;Tup
TRANSITION;2026-09-18 17:04:56.053453;0.271;;DelayPeriod;
VAL;2026-09-18 17:04:56.071581;;;WHEEL_POS;4.728,0.00
VAL;2026-09-18 17:04:56.087210;;;WHEEL_POS;4.744,0.00
VAL;2026-09-18 17:04:56.118462;;;WHEEL_POS;4.775,0.00
VAL;2026-09-18 17:04:56.149714;;;WHEEL_POS;4.806,0.00
VAL;2026-09-18 17:04:56.187474;;;WHEEL_POS;4.844,0.00
VAL;2026-09-18 17:04:56.223066;;;WHEEL_POS;4.879,0.00
EVENT;2026-09-18 17:04:56.223066;0.4354;;158;Tup
TRANSITION;2026-09-18 17:04:56.223066;0.4354;;CueComplete;
EVENT;2026-09-18 17:04:56.223066;0.4355;;158;Tup
END-TRIAL;2026-09-18 17:04:56.223066;;;The trial ended;
INFO;2026-09-18 17:04:56.223066;14.022831;14.458335;TRIAL-BPOD-TIME;0.4355039999999999
STATE;2026-09-18 17:04:56.223066;0;0.271;CuePeriod;0.271
STATE;2026-09-18 17:04:56.223066;0.271;0.4354;DelayPeriod;0.1644
STATE;2026-09-18 17:04:56.223066;0.4354;0.4355;CueComplete;9.999999999998899e-05
STATE;2026-09-18 17:04:56.223066;nan;nan;WheelAbort;nan
STATE;2026-09-18 17:04:56.223066;nan;nan;AbortITI;nan
VAL;2026-09-18 17:04:56.238695;;;SM_SEND_TIME;4.895125389099121
TRIAL;2026-09-18 17:04:56.238695;;;New trial;
VAL;2026-09-18 17:04:56.254200;;;WHEEL_POS;4.911,0.00
VAL;2026-09-18 17:04:56.287468;;;WHEEL_POS;4.944,0.00
VAL;2026-09-18 17:04:56.318721;;;WHEEL_POS;4.975,0.00
VAL;2026-09-18 17:04:56.349973;;;WHEEL_POS;5.006,0.00
VAL;2026-09-18 17:04:56.365598;;;WHEEL_POS;5.022,0.00
VAL;2026-09-18 17:04:56.403364;;;WHEEL_POS;5.060,0.00
VAL;2026-09-18 17:04:56.424327;;;WHEEL_POS;5.081,0.00
VAL;2026-09-18 17:04:56.439955;;;WHEEL_POS;5.096,0.00
VAL;2026-09-18 17:04:56.472217;;;WHEEL_POS;5.129,0.00
VAL;2026-09-18 17:04:56.487846;;;WHEEL_POS;5.144,0.00
VAL;2026-09-18 17:04:56.519103;;;WHEEL_POS;5.176,0.00
VAL;2026-09-18 17:04:56.550350;;;WHEEL_POS;5.207,0.00
VAL;2026-09-18 17:04:56.588115;;;WHEEL_POS;5.245,0.00
VAL;2026-09-18 17:04:56.603741;;;WHEEL_POS;5.260,0.00
VAL;2026-09-18 17:04:56.640425;;;WHEEL_POS;5.297,0.00
