frame_index,timestamp_s
0,2.639682
1,2.668689
2,2.708698
3,2.731703
4,2.779715
5,2.811722
6,2.845729
7,2.874736
8,2.911744
9,2.937751
10,2.973760
11,3.009767
12,3.044774
13,3.079782
14,3.115790
15,3.150798
16,3.188806
17,3.219814
18,3.255822
19,3.291830
20,3.325838
21,3.361846
22,3.398854
23,3.430861
24,3.466870
25,3.500877
26,3.535885
27,3.573897
28,3.608934
29,3.643875
30,3.678883
31,3.713891
32,3.749057
33,3.784065
34,3.821074
35,3.854082
36,3.889089
37,3.939101
38,3.974108
39,4.012117
40,4.044125
41,4.079676
42,4.114797
